Country,Clusters
Afghanistan,4
Albania,2
Algeria,3
Angola,5
Antigua and Barbuda,3
Argentina,3
Armenia,3
Australia,2
Austria,3
Azerbaijan,3
Bahamas,2
Bahrain,1
Bangladesh,1
Barbados,1
Belarus,1
Belgium,2
Belize,5
Benin,2
Bermuda,5
Bhutan,3
Bolivia,5
Bosnia and Herz.,2
Botswana,2
Brazil,3
Brunei,4
Bulgaria,5
Burkina Faso,2
Burundi,2
Cambodia,4
Cameroon,4
Canada,5
Cape Verde,1
Central African Rep.,1
Chad,3
Chile,4
China,4
Colombia,5
Comoros,4
Congo,2
Costa Rica,3
Croatia,1
Cuba,2
Cyprus,3
Czechia,2
C̫te d'Ivoire,2
Dem. Rep. Congo,2
Denmark,4
Djibouti,3
Dominica,3
Dominican Rep.,4
Ecuador,2
Egypt,4
El Salvador,4
Eq. Guinea,2
Eritrea,5
Estonia,2
Ethiopia,1
Federated States of Micronesia,1
Fiji,5
Finland,5
France,1
Gabon,4
Gambia,5
Georgia,3
Germany,2
Ghana,5
Greece,2
Greenland,1
Grenada,1
Guatemala,1
Guinea,3
Guinea-Bissau,1
Guyana,3
Haiti,5
Honduras,1
Hungary,5
Iceland,4
India,2
Indonesia,3
Iran,4
Iraq,5
Ireland,2
Israel,2
Italy,1
Jamaica,2
Japan,3
Jordan,5
Kazakhstan,1
Kenya,1
Kiribati,4
Kuwait,4
Kyrgyzstan,5
Laos,4
Latvia,1
Lebanon,4
Lesotho,1
Liberia,3
Libya,1
Liechtenstein,2
Lithuania,3
Luxembourg,1
Macau,1
Madagascar,2
Malawi,2
Malaysia,3
Maldives,1
Mali,4
Malta,2
Mauritania,2
Mauritius,3
Mexico,2
Moldova,2
Mongolia,4
Montenegro,3
Morocco,4
Mozambique,2
Myanmar,2
Namibia,2
Nepal,2
Netherlands,3
New Zealand,1
Nicaragua,1
Niger,3
Nigeria,1
North Korea,3
North Macedonia,5
Norway,5
Oman,1
Pakistan,1
Palestine,1
Panama,2
Papua New Guinea,2
Paraguay,4
Peru,3
Philippines,1
Poland,2
Portugal,1
Puerto Rico,5
Qatar,2
Romania,2
Russia,2
Rwanda,1
S. Sudan,2
Saint Helena,3
Saint Lucia,2
Samoa,4
Sao Tome and Principe,3
Saudi Arabia,3
Senegal,1
Serbia,2
Seychelles,2
Sierra Leone,1
Singapore,5
Slovakia,1
Slovenia,5
Solomon Islands,1
Somalia,4
South Africa,2
South Korea,1
Spain,2
Sri Lanka,5
Sudan,1
Suriname,1
Swaziland,1
Sweden,2
Switzerland,2
Syria,2
Tajikistan,1
Tanzania,2
Thailand,2
Togo,1
Tonga,1
Trinidad and Tobago,5
Tunisia,1
Turkey,4
Turkmenistan,1
Uganda,5
Ukraine,3
United Arab Emirates,2
United Kingdom,5
United States of America,1
Uruguay,1
Uzbekistan,5
Vanuatu,3
Venezuela,3
Vietnam,3
Western Sahara,1
Yemen,2
Zambia,1
Zimbabwe,4
